arm,seed,i,cls,offset,heading,mc,n_base
A,42,3991,two_row,0.05170628778040298,3.338547201061305,0.05833467580831763,41
A,42,3992,two_row,0.0472309381577084,3.558995719016362,0.06219620700555907,44
A,42,3993,two_row,0.07349748361996533,3.2097586681435697,0.056079534713291,44
A,42,3994,two_row,0.06405110428210237,3.068199780108473,0.05360143429888483,47
A,42,3995,two_row,0.06076038533414119,3.260362088732273,0.056965552706110104,45
A,42,3996,two_row,-0.005135395912158058,3.665705876669286,0.06406607398108956,45
A,42,3997,two_row,0.01074971244973233,4.143910880073512,0.07245126102340464,44
A,42,3998,two_row,0.8096098460355876,2.3469954311297907,0.040985724376966876,44
A,42,3999,two_row,0.8109313045909441,1.4015637408962403,0.02446678233220613,45
A,42,4000,two_row,0.08012300494805091,2.4067673364849287,0.04203073841239186,45
A,42,4001,two_row,0.04410418847924913,3.635518076592753,0.0635370527394245,44
A,42,4002,two_row,0.057067230888650566,3.500430574101165,0.061170163202059,42
A,42,4003,two_row,0.07309897223683981,3.2330996616150554,0.056488202425194534,44
A,42,4004,two_row,0.813277164381272,1.4660593314319312,0.02559314808408248,44
A,42,4005,two_row,0.7738568852991067,2.8012343648662688,0.04892975470746821,43
A,42,4006,two_row,0.8474646159361294,1.237837326337224,0.02160769883218267,43
A,42,4007,two_row,0.04682886666825026,4.345682849052296,0.0759922497707524,43
A,42,4008,two_row,0.060384451474333356,4.267217477138625,0.07461500465267686,43
A,42,4009,two_row,0.054977482808619804,4.420935703788099,0.07731337718697202,45
A,42,4010,two_row,0.09049038013079763,3.6684670872622362,0.06411446414983103,47
A,42,4011,two_row,0.09341767030225034,4.492012576857146,0.07856143804992605,43
A,42,4012,two_row,0.07749380987911414,3.9699654930346338,0.06940006695096693,45
A,42,4013,two_row,0.02863450843583415,4.839456508519791,0.08466588825699194,44
A,42,4014,two_row,0.0896292319795654,3.811961903359503,0.06662962525565425,45
A,42,4015,two_row,0.051912765336497246,4.364047891106597,0.07631463909192107,43
A,42,4016,two_row,0.0548839359885539,3.662633735830813,0.06401223511623944,41
A,42,4017,two_row,0.08141439481473867,3.7956195790390734,0.06634313705677579,40
A,42,4018,two_row,0.08182584974670903,3.820485049065784,0.06677904410047927,38
A,42,4019,two_row,0.14576604724704612,3.1275367550832653,0.054640093378824736,40
A,42,4020,two_row,0.2058417771828771,2.3464880591642467,0.04097685419344083,40
A,42,4021,two_row,0.13237430388019777,3.4164988815506088,0.059699928224222015,40
A,42,4022,two_row,0.1111082753779693,3.5001036758134805,0.06116443640402371,38
A,42,4023,two_row,0.11398138776253963,3.2137438327071006,0.0561493079705534,40
A,42,4024,two_row,0.09497472802317097,3.2730540327810025,0.05718779056279176,39
A,42,4025,two_row,0.07037028866908823,3.269376542127358,0.05712339656776247,37
A,42,4026,two_row,0.061173076044434116,3.888215138423682,0.0679665230187434,38
A,42,4027,two_row,0.042795184271976594,4.032192032383247,0.07049143848959086,39
A,42,4028,two_row,0.03698769939172575,4.219562067577714,0.07377868190971018,37
A,42,4029,two_row,0.05543141692074438,3.509759625362711,0.06133359673990303,36
A,42,4030,two_row,0.07088830000851587,2.8142687444683787,0.049157794735127686,36
A,42,4031,two_row,0.049632524314092374,3.297612818793479,0.05761783462242518,39
A,42,4032,two_row,0.06695865632298836,3.0235330393036555,0.052819645288820605,37
A,42,4033,two_row,0.06797686867282693,3.053973178800222,0.05335242317661378,37
A,42,4034,two_row,0.08330803604759163,2.954538222740116,0.05161217521163551,38
A,42,4035,two_row,0.09801748171188551,3.0396689797076166,0.05310206049586121,38
A,42,4036,two_row,0.106938640110392,3.210435427057824,0.05609138353912904,37
A,42,4037,two_row,0.13263478697122044,3.1791916252495067,0.05554437733464512,37
A,42,4038,two_row,0.09770902003979975,3.462613950492533,0.06050769558556951,39
A,42,4039,two_row,0.11970245168332239,3.445142645928624,0.06020165302298879,39
A,42,4040,two_row,0.22720764623110168,2.2735509562303533,0.039701789937952384,37
A,42,4041,two_row,0.20345898298755882,2.555081140729711,0.044624163491378814,33
A,42,4042,two_row,0.21016264345031377,2.1457847907440692,0.03746852878882435,36
A,42,4043,two_row,0.15808688567728418,3.3377421713720024,0.05832057758856435,34
A,42,4044,two_row,0.20671102771925326,2.3076973312665925,0.04029871018613594,36
A,42,4045,two_row,0.17917304513532306,2.9874145014913163,0.052187520119792025,34
A,42,4046,two_row,0.19449198426048475,2.564534953390135,0.044789493435442515,34
A,42,4047,two_row,0.16687037354037215,3.477387165530477,0.06076648487581146,37
A,42,4048,two_row,0.19733215186306063,2.905329544426608,0.050751071885044435,35
A,42,4049,two_row,0.22186799646462374,2.2891816797298237,0.03997503050180669,35
A,42,4050,two_row,0.14898239268110403,3.6111153198290658,0.0631094364590518,33
A,42,4051,two_row,0.18736273634282907,2.4190536876275397,0.04224555645357327,35
A,42,4052,two_row,0.1819488642110384,3.094483710262926,0.05406150478090217,34
A,42,4053,two_row,0.17721368997241538,2.8398295742776405,0.04960500325745152,34
A,42,4054,two_row,0.17177971856321383,3.000705777290862,0.052420131261219784,33
A,42,4055,two_row,0.17713297917154958,2.8649476449598392,0.050044484612539894,34
A,42,4056,two_row,0.2436430921231162,2.0602734416985986,0.035974061418245634,33
A,42,4057,two_row,0.18947020702082595,2.747786219793557,0.047994717658043154,32
A,42,4058,two_row,0.198034003896439,2.6659487866888774,0.046563192005863945,31
A,42,4059,two_row,0.19770516921370418,2.6429532648490213,0.04616098175741642,29
A,42,4060,two_row,0.19532864055113475,3.12824315519945,0.054652459203763326,32
A,42,4061,two_row,0.2440717902471211,2.285045114832378,0.03990271866268351,30
A,42,4062,two_row,0.2672163495860509,2.1861638245695643,0.038174284018601415,33
A,42,4063,two_row,0.2436929288288313,2.810137716146696,0.04908552071650354,34
A,42,4064,two_row,0.2763027791875612,2.341476392940917,0.04088923755941781,28
A,42,4065,two_row,0.2623549766246587,2.6220365276171296,0.04579514407699757,29
A,42,4066,two_row,0.23626734674641592,2.5105729178376763,0.043845828397730074,30
A,42,4067,two_row,0.20897985826531662,3.300946935123581,0.05767621931021949,32
A,42,4068,two_row,0.20780987319921684,2.9269201616980145,0.05112887707055817,31
A,42,4069,two_row,0.19381241158301787,3.075977817612194,0.05373757768613914,27
A,42,4070,two_row,0.19035771370694843,2.8433552480428443,0.04966668947691831,29
A,42,4071,two_row,0.17305519203129327,3.065763394273881,0.05355878926811088,31
A,42,4072,two_row,0.1612309186011287,3.3835882074947676,0.05912350109909641,32
A,42,4073,two_row,0.14303910039614665,3.621084138918136,0.06328412005696339,32
