arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,2070,none,,,,,,4,0,
A,42,2071,none,,,,,,4,0,
A,42,2072,none,,,,,,4,0,
A,42,2073,none,,,,,,5,0,
A,42,2074,none,,,,,,5,0,
A,42,2075,none,,,,,,4,0,
A,42,2076,none,,,,,,7,0,
A,42,2077,none,,,,,,4,0,
A,42,2078,none,,,,,,4,0,
A,42,2079,none,,,,,,6,0,
A,42,2080,none,,,,,,4,0,
A,42,2081,none,,,,,,5,0,
A,42,2082,none,,,,,,5,0,
A,42,2083,none,,,,,,6,0,
A,42,2084,none,,,,,,5,0,
A,42,2085,none,,,,,,4,0,
A,42,2086,none,,,,,,4,0,
A,42,2087,none,,,,,,5,0,
A,42,2088,none,,,,,,3,0,
A,42,2089,none,,,,,,5,0,
A,42,2090,none,,,,,,6,0,
A,42,2091,none,,,,,,6,0,
A,42,2092,none,,,,,,6,0,
A,42,2093,none,,,,,,5,0,
A,42,2094,none,,,,,,7,0,
A,42,2095,none,,,,,,5,0,
A,42,2096,none,,,,,,4,0,
A,42,2097,none,,,,,,3,0,
A,42,2098,none,,,,,,4,0,
A,42,2099,none,,,,,,5,0,
A,42,2100,none,,,,,,5,0,
A,42,2101,none,,,,,,4,0,
A,42,2102,none,,,,,,4,0,
A,42,2103,none,,,,,,4,0,
A,42,2104,none,,,,,,5,0,
A,42,2105,none,,,,,,5,0,
A,42,2106,none,,,,,,4,0,
A,42,2107,none,,,,,,3,0,
A,42,2108,none,,,,,,3,0,
A,42,2109,none,,,,,,3,0,
A,42,2110,none,,,,,,4,0,
A,42,2111,none,,,,,,7,0,
A,42,2112,none,,,,,,6,0,
A,42,2113,none,,,,,,5,0,
A,42,2114,none,,,,,,7,0,
A,42,2115,none,,,,,,3,0,
A,42,2116,none,,,,,,7,0,
A,42,2117,none,,,,,,6,0,
A,42,2118,none,,,,,,8,0,
A,42,2119,none,,,,,,6,0,
A,42,2120,none,,,,,,4,0,
A,42,2121,none,,,,,,4,0,
A,42,2122,none,,,,,,4,0,
A,42,2123,none,,,,,,6,0,
A,42,2124,none,,,,,,5,0,
A,42,2125,none,,,,,,5,0,
A,42,2126,none,,,,,,4,0,
A,42,2127,none,,,,,,5,0,
A,42,2128,none,,,,,,4,0,
A,42,2129,none,,,,,,5,0,
A,42,2130,none,,,,,,4,0,
A,42,2131,none,,,,,,6,0,
A,42,2132,none,,,,,,6,0,
A,42,2133,none,,,,,,6,0,
A,42,2134,none,,,,,,5,0,
A,42,2135,none,,,,,,6,0,
A,42,2136,none,,,,,,5,0,
A,42,2137,none,,,,,,7,0,
A,42,2138,none,,,,,,4,0,
A,42,2139,none,,,,,,5,0,
A,42,2140,none,,,,,,5,0,
A,42,2141,none,,,,,,7,0,
A,42,2142,none,,,,,,6,0,
A,42,2143,none,,,,,,5,0,
A,42,2144,none,,,,,,5,0,
A,42,2145,none,,,,,,5,0,
A,42,3069,single_row,,,,,,16,1,
A,42,3070,single_row,,,,,,15,0,
A,42,3071,single_row,,,,,,15,0,
A,42,3072,two_row,0.045769016990739875,-1.250188018891231,-0.14745686833622795,0.10381014686924865,-0.02182336073348965,14,0,slope_mismatch
A,42,3073,single_row,,,,,,14,0,
A,42,3074,two_row,0.08175113338331486,0.08114641044242821,-0.1375197377711644,0.14035228374182007,0.0014162729853278294,21,2,slope_mismatch
A,42,3075,two_row,-0.01592439459366357,0.5367991283866739,-0.13255935403582178,0.15129772672642022,0.009369186345299221,19,1,slope_mismatch
A,42,3076,single_row,,,,,,14,0,
A,42,3077,single_row,,,,,,13,0,
A,42,3078,single_row,,,,,,17,0,
A,42,3079,single_row,,,,,,14,0,
A,42,3080,single_row,,,,,,15,0,
A,42,3081,two_row,-0.14982327803312756,-1.8548283619231332,-0.1344225655494402,0.06965421422723146,-0.032384175661104374,13,0,slope_mismatch
A,42,3082,two_row,-0.16288045540613694,-1.5785029074591124,-0.14105507530149888,0.08594098463619718,-0.027557045332650854,16,0,slope_mismatch
A,42,3083,single_row,,,,,,13,0,
A,42,3084,single_row,,,,,,13,0,
A,42,3085,single_row,,,,,,14,1,
A,42,3086,single_row,,,,,,13,0,
A,42,3087,single_row,,,,,,19,1,
A,42,3088,none,,,,,,20,0,
A,42,3089,single_row,,,,,,18,0,
A,42,3090,two_row,-0.753484662238469,-3.2407812644145477,-0.2514197228009464,0.13817432178261563,-0.056622700509165375,18,0,slope_mismatch
A,42,3091,none,,,,,,15,0,
