arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,437,single_row,,,,,,11,0,
A,42,438,single_row,,,,,,11,0,
A,42,439,two_row,-0.2178038933905282,1.825029715749483,-0.043459113543919764,0.10718622247120776,0.031863554463644,13,0,
A,42,440,two_row,-0.12474812091595622,-0.28018788247006615,-0.1348630885015019,0.12508260839110644,-0.004890240055197725,10,0,slope_mismatch
A,42,441,single_row,,,,,,9,0,
A,42,442,two_row,-0.14798804747243388,-1.579272053966171,-0.20183292667214828,0.1466919673306148,-0.027570479670766743,11,0,slope_mismatch
A,42,443,single_row,,,,,,11,0,
A,42,444,single_row,,,,,,8,0,
A,42,445,two_row,-0.39550735653239283,4.473073654114394,0.0164997506804186,0.13995796935052698,0.07822886001547279,12,0,
A,42,446,two_row,-0.15888450411305743,-2.827600647961421,-0.2733409089149107,0.17455881831288694,-0.04939104530101188,14,0,slope_mismatch
A,42,447,single_row,,,,,,8,0,
A,42,448,two_row,-0.23639148668668586,-0.1729145070295597,-0.1700876407576343,0.16405176748868344,-0.0030179366344754294,11,0,slope_mismatch
A,42,449,two_row,-0.23767815842262063,-0.5702828741573318,-0.19184609354484158,0.17193880850227156,-0.009953642521285014,15,0,slope_mismatch
A,42,450,two_row,-0.09525728372545705,-3.986451741844601,-0.30443746894330953,0.16505907311427673,-0.0696891979145164,12,0,steep_slope|slope_mismatch
A,42,451,two_row,-0.11237202089408421,-3.3424686840252504,-0.207558411697859,0.09075170814141176,-0.05840335177822362,13,0,slope_mismatch
A,42,452,single_row,,,,,,10,0,
A,42,453,single_row,,,,,,12,0,
A,42,454,single_row,,,,,,9,0,
A,42,455,none,,,,,,8,0,
A,42,456,single_row,,,,,,10,0,
A,42,457,single_row,,,,,,8,0,
A,42,458,single_row,,,,,,10,0,
A,42,459,single_row,,,,,,10,0,
A,42,460,single_row,,,,,,10,0,
A,42,461,single_row,,,,,,8,0,
A,42,462,none,,,,,,8,0,
A,42,463,none,,,,,,7,0,
A,42,464,none,,,,,,7,0,
A,42,465,single_row,,,,,,8,0,
A,42,466,none,,,,,,6,0,
A,42,467,none,,,,,,5,0,
A,42,468,single_row,,,,,,8,0,
A,42,469,two_row,-0.0770677559447599,0.4918264158452188,-0.15816683898486958,0.1753352412804471,0.008584201147788767,8,0,slope_mismatch
A,42,470,single_row,,,,,,7,0,
A,42,471,single_row,,,,,,6,0,
A,42,472,none,,,,,,5,0,
A,42,473,none,,,,,,5,0,
A,42,474,single_row,,,,,,7,0,
A,42,475,single_row,,,,,,9,0,
A,42,476,single_row,,,,,,9,0,
A,42,477,single_row,,,,,,10,0,
A,42,478,single_row,,,,,,9,0,
A,42,479,two_row,0.1335786586769943,-4.910776733603024,-0.2011384310371767,0.029298997604177333,-0.08591971671649969,10,0,slope_mismatch
A,42,480,none,,,,,,9,0,
A,42,481,single_row,,,,,,11,0,
A,42,482,two_row,0.06225250891189932,-3.7872964030746545,-0.15656372335846036,0.024169258842506654,-0.06619723225797686,12,0,
A,42,483,two_row,0.004500437058867768,-2.8101503466267603,-0.15632466571647433,0.05815318233426818,-0.04908574169110307,11,0,slope_mismatch
A,42,484,two_row,0.02063734120001176,-3.2833268189192086,-0.15805650730419368,0.04332116186163778,-0.05736767272127795,14,0,slope_mismatch
