arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,456,two_row,0.12739293502823978,1.7309414618411743,-0.015432611742780414,0.0758722555906531,0.03021982192393634,14,0,
A,42,457,two_row,0.15539697889339155,1.5029429334549596,-0.0025210418976585325,0.054995683371978445,0.026237320737159956,14,0,
A,42,458,two_row,0.1852988937345733,0.9016422227059625,-0.020535543287128522,0.05201139249338392,0.0157379246031277,12,0,
A,42,459,two_row,0.08443982068371914,4.462469611796044,-0.02598204791777904,0.18206735719869255,0.07804265464045676,11,0,slope_mismatch
A,42,460,two_row,0.14659232468186834,0.8914781187807201,0.013360886665468568,0.01776008149359958,0.015560484079534073,11,0,
A,42,461,two_row,0.21033441267148123,0.02128647305997201,-0.04404244363000083,0.04478548174625429,0.00037151905812672983,13,0,
A,42,462,two_row,0.0643433728054158,0.8557184368344579,0.028893673605994367,0.000978755900790144,0.014936214753392256,18,0,
A,42,463,two_row,0.07625560763365247,4.170248114903402,0.02340536488071182,0.12242135673914264,0.07291336080992723,18,0,
A,42,464,two_row,0.13372633747615814,1.6846854971595189,0.025536757057327497,0.03328681355409841,0.029411785305712954,14,0,
A,42,465,two_row,0.1317499585959767,2.246885099152757,0.038940216843586756,0.03953109900422638,0.03923565792390657,13,0,
A,42,466,two_row,0.07532502525856322,2.0808991291147825,0.043831689100767894,0.028837347154606768,0.03633451812768733,14,0,
A,42,467,two_row,0.10429245056759462,2.004479342702473,0.039990870842940444,0.030007217798261866,0.03499904432060116,14,0,
A,42,468,two_row,0.07629094010205562,2.6298729088390287,0.03905747994810406,0.05280692490156163,0.04593220242483284,13,0,
A,42,469,single_row,,,,,,11,0,
A,42,470,two_row,0.0966761195576229,1.427333816506219,0.0215172190517844,0.02831643940308119,0.024916829227432796,11,0,
A,42,471,two_row,0.07513270138072692,2.2190688184763143,0.03501643536610873,0.04248243281279659,0.03874943408945266,10,0,
A,42,472,two_row,0.007027952838375651,3.6633455850196666,0.03649991236269934,0.09154950793111467,0.064024710146907,13,0,
A,42,473,two_row,0.05539171781250107,2.6435362607942356,0.042939961570601586,0.04940239571471491,0.046171178642658246,11,0,
A,42,474,two_row,0.07104586340233254,1.6801591958240707,0.012288111941470328,0.0463773246381467,0.029332718289808515,12,0,
A,42,475,two_row,0.13336340201116265,-0.6562257910233725,-0.006533435190924211,-0.016374167856148973,-0.011453801523536592,13,0,
A,42,476,two_row,0.008717416687661239,4.301165303201786,0.007736380951604729,0.1426852812355802,0.07521083109359246,12,0,
A,42,477,single_row,,,,,,11,0,
A,42,478,two_row,0.09620298373920394,0.5546426519102772,0.022995380847358367,-0.0036340951724096147,0.009680642837474376,13,0,
A,42,479,single_row,,,,,,12,0,
A,42,480,two_row,0.07102578300604756,-0.3067306464702727,0.014356240258115103,-0.02506326193973682,-0.005353510840810858,14,0,
A,42,481,two_row,0.10122950070860981,-2.050519672917039,-0.0012555502327738744,-0.07035166331426192,-0.0358036067735179,14,0,
A,42,482,two_row,0.037887856902290906,-0.07794326031589219,0.021595715796397977,-0.0243164505192288,-0.001360367361415411,12,0,
A,42,483,two_row,0.09411237874481426,-0.3344024635473191,0.012804098132676536,-0.02447707870654105,-0.005836490286932257,10,0,
A,42,484,two_row,0.09557854576084523,-0.1164566260839491,0.029096085062931324,-0.03316119378280545,-0.0020325543599370634,11,0,
A,42,485,two_row,0.06590482649111884,-1.0756845304428753,0.011422588249699425,-0.04897547400453425,-0.018776442877417414,13,0,
A,42,486,two_row,0.052604087904406405,1.0141960558510026,0.03873524969846781,-0.0033294308778313176,0.017702909410318247,11,0,
A,42,487,two_row,-0.16988179342358123,1.831868440732129,0.018484153513093272,0.04548191522488821,0.03198303436899074,13,0,
A,42,488,two_row,0.05561301200888147,0.3168898802448567,0.021256761603898628,-0.010195105260677488,0.00553082817161057,12,0,
A,42,489,two_row,0.15320583048390807,-1.7784979589114422,0.02050151001548237,-0.08260274683817147,-0.03105061841134455,11,0,
A,42,490,two_row,-0.017158058390885356,1.5843520303924745,0.028664145720012316,0.026654273474915117,0.027659209597463714,12,0,
A,42,491,two_row,-0.0006807213226445175,1.3659934902533697,0.06355012355377485,-0.01585891942958991,0.023845602062092467,12,0,
A,42,492,two_row,-0.2519918652964168,5.351844310025877,0.04455698595737574,0.1428028398928534,0.09367991292511457,13,0,
A,42,493,two_row,0.003667649565724851,1.75309232431774,0.042955674740081315,0.01825789527834349,0.030606785009212403,11,0,
A,42,494,two_row,-0.038014753654887046,1.7174982813376782,0.023636180715135055,0.03633378238909034,0.029984981552112697,11,0,
A,42,495,two_row,0.001948979620111535,1.223348690279279,0.01573348749533002,0.026975927985885446,0.021354707740607735,12,0,
A,42,496,two_row,0.05431921751720692,0.07985626386352872,0.014672712700823333,-0.01188520143034111,0.0013937556352411114,12,0,
A,42,497,two_row,0.0678141314278412,-0.5454970944675734,0.0017642741374794494,-0.02080629020690509,-0.00952100803471282,12,0,
A,42,498,two_row,0.06448801167068452,0.2255026156681617,-0.005871399010701617,0.013742965885411663,0.003935783437355024,12,0,
A,42,499,two_row,0.06504960508301494,-0.1007424318167603,-7.85349052019648e-05,-0.003438042982055332,-0.0017582889436286485,11,0,
A,42,500,two_row,0.0433152818661201,0.4411134996735011,0.0204249057369596,-0.005026835618259435,0.007699035059350083,15,0,
A,42,501,two_row,0.059857279807355224,-0.5494810309503229,0.002126867221920707,-0.021307961607513828,-0.009590547192796561,12,0,
A,42,502,two_row,0.058481485056415594,-0.2854114911277165,0.015483031056516893,-0.02544585394905716,-0.0049814114462701335,10,0,
A,42,503,two_row,-0.006779599376532497,1.0076109281190113,0.027118146909254796,0.008057736019159713,0.017587941464207255,14,0,
A,42,504,two_row,-0.0223779663610153,1.4652664373323785,0.01752397414653516,0.03363462667728532,0.02557930041191024,14,0,
A,42,505,two_row,0.05070635486940622,-0.6329874534560392,-0.014358293430835929,-0.00773803591686642,-0.011048164673851175,12,0,
A,42,506,two_row,0.12570139697565064,-1.2383827059393553,-0.0420774915616612,-0.0011569523344767477,-0.021617221948068973,12,0,
A,42,507,two_row,0.15215648914611757,-2.2129029150761634,-0.06289284199069284,-0.014390473282052523,-0.03864165763637268,12,0,
A,42,508,two_row,0.15833547059391684,-1.7531178560092655,-0.053818736870132486,-0.007395725207342714,-0.0306072310387376,11,0,
A,42,509,two_row,0.1264904965528021,-0.04883445262761453,0.009010864606304592,-0.010715508992607963,-0.0008523221931516856,13,0,
A,42,510,two_row,0.16767873747319584,-0.7955127827504306,-0.013806691293151607,-0.013963727805238049,-0.013885209549194828,13,0,
A,42,511,two_row,0.11266494164779783,0.1790953198950972,0.006696779658407143,-0.0004451532834238197,0.003125813187491662,13,0,
A,42,512,two_row,0.09540720470513098,0.8006584246431536,0.019074305563721243,0.008875765175436376,0.013975035369578809,14,0,
A,42,513,two_row,0.13251357574277078,-0.1148172263978884,-0.00571936598152056,0.0017114833393056044,-0.002003941321107478,13,0,
A,42,514,two_row,0.12912723414503924,-0.04135638400638922,-0.00675649522399786,0.005312884838028387,-0.0007218051929847365,13,0,
A,42,515,two_row,0.1814945524044036,-0.08599322323868872,-0.018381846124233645,0.01538011411050217,-0.0015008660068657372,14,0,
A,42,516,two_row,0.1007227941743366,1.3457964441430745,0.02999626511444504,0.01698953412472168,0.02349289961958336,14,0,
A,42,517,two_row,0.0475711020656675,2.5074285124687115,0.055345189656937736,0.032236495939905116,0.04379084279842142,16,0,
A,42,518,two_row,0.09031909993523501,2.209402795911925,0.03192309410118425,0.04523786182070794,0.038580477960946095,16,0,
A,42,519,two_row,0.20273863509395795,0.013091705947646902,-0.034155144404947865,0.034612131159879565,0.00022849337746585,13,0,
A,42,520,two_row,0.23824574961338052,1.0988679364909808,-0.00499520769523127,0.04335763848568175,0.01918121539522524,14,0,
A,42,521,two_row,0.1756804920414985,2.1120085997188687,0.023288403465304898,0.050468013365926226,0.036878208415615565,16,0,
A,42,522,two_row,0.14653739479931505,2.7089178456353395,0.020225179865212228,0.07440441201696087,0.04731479594108655,13,0,
A,42,523,two_row,0.1339876869517015,3.7716898671576295,0.0400333278843391,0.09181398838459714,0.06592365813446813,15,0,
A,42,524,two_row,0.21693981669228823,2.445513317704326,0.02090656737839028,0.06450982733785801,0.042708197358124145,14,0,
A,42,525,two_row,0.1035956627039698,3.659464943300639,0.07608664238416572,0.05182676327659375,0.06395670283037974,16,0,
A,42,526,two_row,0.16807914818433578,2.7103323098586674,0.05903832383644991,0.03564075275256684,0.047339538294508376,10,0,
A,42,527,two_row,0.1138182983706264,3.9712080824101306,0.06867323002601497,0.0701704874010876,0.06942185871355128,13,0,
A,42,528,two_row,0.16460421525285485,2.7854874576379256,0.0635861713939077,0.03372235868199631,0.048654265037952005,13,0,
A,42,529,two_row,0.2012319050160436,2.9001377181662766,0.04502441874837186,0.05629603014578606,0.05066022444707896,12,0,
A,42,530,two_row,0.13238056564710277,3.755537490340693,0.028984750456572676,0.1022963016659709,0.06564052606127178,14,0,
A,42,531,two_row,0.0945039674071727,3.5721996034459313,0.04607836402041778,0.07877674208605984,0.06242755305323881,14,0,
A,42,532,two_row,0.20687196917119421,2.4989001863190516,0.02216078064038648,0.0651226412856668,0.043641710963026645,11,0,
A,42,533,two_row,0.2277749129974812,3.3067592561604218,0.039300410447697054,0.07625559256027666,0.057778001503986855,11,0,
A,42,534,two_row,0.21939520423102143,3.0869554559169035,0.05488591805307203,0.05297353969926125,0.05392972887616664,13,0,
A,42,535,two_row,0.1450571350512082,4.30680669055699,0.08741293623063064,0.06320676291132661,0.07530984957097862,12,0,
A,42,536,two_row,0.20542039410708457,3.3627685603703528,0.036424728021105406,0.08109300663594265,0.058758867328524034,14,0,
A,42,537,two_row,0.17871683805276506,3.3488784768180424,0.01952516235506186,0.09750604982625787,0.058515606090659866,12,0,
A,42,538,two_row,0.20966679503499452,2.2914765928547234,0.01963718054049655,0.06039311618394126,0.04001514836221891,10,0,
A,42,539,two_row,0.2079267137986286,3.5175144824304945,0.028322839304414798,0.09461607031572983,0.061469454810072315,12,0,
A,42,540,two_row,0.20879529186178392,2.271634484811171,0.057251596525760465,0.02208498052058187,0.03966828852317117,12,0,
A,42,541,two_row,0.17363552707606855,2.778897980766239,0.05005478141302232,0.04702318931437942,0.04853898536370087,12,0,
A,42,542,two_row,0.1836155777870725,2.91853782823657,0.04032860914303236,0.06163578365430882,0.05098219639867059,11,0,
A,42,543,two_row,0.2710038012613442,0.44029429569523054,0.015975061127642257,-0.000605588314137592,0.0076847364067523325,12,0,
A,42,544,two_row,0.2481818740663464,1.19106658818899,0.02592438683536998,0.01565767027513884,0.020791028555254408,14,0,
A,42,545,two_row,0.21718975857943845,0.931481266173951,0.004536461348054862,0.027981233580514363,0.016258847464284614,14,0,
A,42,546,two_row,0.20550993838923237,1.2097045475191546,0.030401371924437537,0.01183155835076383,0.021116465137600682,14,0,
A,42,547,two_row,0.24309621167339346,-0.5744628062953709,0.04651216652090191,-0.06656537328208131,-0.0100266033805897,12,0,
A,42,548,two_row,0.2388932113581267,-0.1299357347597427,-0.0019445885810817605,-0.002591031969515583,-0.0022678102752986718,13,0,
A,42,549,two_row,0.1532042513616807,2.3539571599738984,0.02639545336645823,0.05581941499651225,0.04110743418148524,13,0,
A,42,550,two_row,0.20426825229454448,0.7931910970581212,0.03777723467623491,-0.01008787327618062,0.013844680700027144,10,0,
A,42,551,two_row,0.09995634780697449,1.343751593571975,0.020552737447477116,0.026361643706087495,0.023457190576782305,14,0,
A,42,552,two_row,0.21821621825341553,0.17962569333202927,0.015683215688477175,-0.00941307560658821,0.0031350700409444824,10,0,
A,42,553,two_row,0.2243703643661742,-0.023129574365684323,-0.009674861090100947,0.008867486591711314,-0.0004036872491948165,11,0,
